context,chair(downsampling rate),chair(frame rate),table(downsampling rate),table(frame rate),fridge(downsampling rate),fridge(frame rate),bag(downsampling rate),bag(frame rate),bulletin_board(downsampling rate),bulletin_board(frame rate),bag_2(downsampling rate),bag_2(frame rate),laptop(downsampling rate),laptop(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),plastic_container(downsampling rate),plastic_container(frame rate),shelf(downsampling rate),shelf(frame rate),score
2.0,2.0,5.0,30.0,1.0,39.0,2.0,76.0,6.0,32.0,9.0,70.0,2.0,31.0,2.0,26.0,3.0,93.0,3.0,90.0,1.0,55.0,2.0,180.0081721
2.0,70.0,2.0,74.0,3.0,44.0,10.0,74.0,7.0,71.0,9.0,67.0,3.0,7.0,9.0,6.0,9.0,46.0,4.0,81.0,10.0,56.0,2.0,237.94401140000002
1.0,32.0,4.0,27.0,1.0,23.0,3.0,84.0,1.0,30.0,9.0,13.0,8.0,41.0,9.0,80.0,6.0,21.0,6.0,9.0,5.0,89.0,6.0,274.4758933
2.0,74.0,1.0,37.0,8.0,90.0,6.0,86.0,3.0,6.0,9.0,37.0,8.0,66.0,2.0,13.0,9.0,69.0,10.0,100.0,9.0,89.0,7.0,294.0128967
1.0,57.0,3.0,11.0,4.0,65.0,7.0,20.0,7.0,43.0,7.0,47.0,6.0,46.0,8.0,63.0,8.0,42.0,9.0,36.0,1.0,23.0,1.0,263.89785959999995
1.0,86.0,1.0,28.0,4.0,41.0,5.0,8.0,9.0,11.0,2.0,36.0,8.0,56.0,8.0,25.0,7.0,82.0,2.0,1.0,5.0,22.0,2.0,225.1288688
1.0,35.0,6.0,14.0,2.0,72.0,9.0,32.0,2.0,17.0,2.0,24.0,6.0,12.0,6.0,2.0,5.0,39.0,7.0,11.0,7.0,28.0,3.0,223.0580772
2.0,32.0,4.0,48.0,9.0,77.0,9.0,10.0,1.0,21.0,6.0,75.0,5.0,61.0,4.0,4.0,10.0,91.0,3.0,58.0,6.0,97.0,2.0,245.2636024
2.0,10.0,7.0,96.0,6.0,38.0,10.0,35.0,4.0,39.0,6.0,91.0,10.0,95.0,2.0,62.0,10.0,83.0,4.0,87.0,7.0,75.0,1.0,291.0511911
2.0,78.0,4.0,63.0,9.0,5.0,1.0,8.0,6.0,95.0,3.0,19.0,5.0,78.0,7.0,94.0,10.0,32.0,9.0,37.0,4.0,61.0,4.0,315.8036481
2.0,18.0,2.0,40.0,9.0,91.0,9.0,67.0,4.0,11.0,4.0,1.0,3.0,36.0,7.0,34.0,7.0,76.0,8.0,97.0,8.0,62.0,9.0,275.88972
2.0,35.0,3.0,36.0,2.0,66.0,2.0,95.0,9.0,43.0,8.0,79.0,8.0,18.0,8.0,18.0,1.0,30.0,9.0,72.0,4.0,58.0,3.0,233.22747769999998
2.0,85.0,2.0,87.0,10.0,65.0,9.0,26.0,7.0,79.0,6.0,19.0,4.0,34.0,4.0,56.0,4.0,23.0,9.0,89.0,1.0,79.0,1.0,282.84055539999997
1.0,47.0,1.0,57.0,1.0,55.0,5.0,16.0,6.0,10.0,1.0,43.0,10.0,42.0,3.0,48.0,6.0,50.0,7.0,11.0,7.0,19.0,9.0,257.0707705
2.0,26.0,1.0,87.0,4.0,14.0,5.0,8.0,1.0,2.0,2.0,72.0,1.0,78.0,1.0,25.0,4.0,93.0,3.0,24.0,9.0,24.0,1.0,235.25241499999998
1.0,57.0,7.0,99.0,8.0,4.0,7.0,68.0,6.0,62.0,8.0,32.0,9.0,2.0,2.0,79.0,9.0,94.0,6.0,18.0,2.0,24.0,7.0,246.1532767
2.0,24.0,8.0,44.0,3.0,56.0,10.0,19.0,4.0,16.0,2.0,63.0,5.0,89.0,6.0,20.0,5.0,85.0,8.0,41.0,4.0,24.0,3.0,262.8712117
1.0,2.0,4.0,89.0,5.0,51.0,1.0,36.0,6.0,23.0,6.0,39.0,8.0,58.0,6.0,7.0,9.0,52.0,8.0,15.0,6.0,25.0,5.0,170.70116520000002
2.0,25.0,2.0,88.0,8.0,38.0,6.0,2.0,10.0,82.0,5.0,49.0,4.0,76.0,7.0,67.0,3.0,96.0,4.0,100.0,1.0,24.0,2.0,278.0879088
2.0,21.0,9.0,40.0,3.0,25.0,10.0,34.0,9.0,30.0,5.0,4.0,6.0,45.0,4.0,36.0,2.0,78.0,8.0,89.0,4.0,62.0,2.0,262.9651849
2.0,79.0,3.0,64.0,9.0,36.0,6.0,71.0,10.0,85.0,2.0,55.0,8.0,48.0,8.0,95.0,10.0,77.0,9.0,43.0,6.0,38.0,2.0,338.1169042
2.0,74.0,1.0,30.0,5.0,70.0,9.0,47.0,7.0,44.0,10.0,44.0,7.0,75.0,6.0,85.0,2.0,21.0,3.0,45.0,3.0,84.0,4.0,261.3143795
2.0,49.0,9.0,78.0,7.0,15.0,3.0,30.0,2.0,37.0,3.0,10.0,8.0,66.0,9.0,2.0,1.0,52.0,3.0,63.0,4.0,62.0,8.0,260.2026739
2.0,4.0,6.0,7.0,7.0,82.0,10.0,14.0,7.0,88.0,4.0,40.0,10.0,31.0,5.0,85.0,1.0,73.0,8.0,65.0,1.0,51.0,10.0,195.79229759999998
1.0,58.0,2.0,84.0,7.0,74.0,2.0,84.0,8.0,74.0,9.0,63.0,5.0,84.0,3.0,15.0,8.0,22.0,7.0,40.0,4.0,77.0,7.0,245.95873999999998
1.0,9.0,7.0,11.0,3.0,78.0,8.0,60.0,8.0,94.0,10.0,71.0,7.0,16.0,5.0,86.0,1.0,62.0,1.0,46.0,4.0,64.0,1.0,195.26111290000003
2.0,48.0,10.0,83.0,5.0,35.0,6.0,52.0,2.0,42.0,6.0,69.0,4.0,90.0,10.0,39.0,6.0,41.0,2.0,43.0,5.0,38.0,6.0,264.0811286
1.0,33.0,4.0,61.0,4.0,15.0,10.0,35.0,10.0,28.0,3.0,84.0,5.0,13.0,10.0,44.0,2.0,32.0,3.0,90.0,1.0,48.0,3.0,227.84236030000002
1.0,25.0,4.0,27.0,6.0,37.0,8.0,41.0,4.0,41.0,4.0,45.0,10.0,91.0,9.0,69.0,5.0,27.0,4.0,1.0,5.0,78.0,6.0,266.96971620000005
1.0,11.0,9.0,46.0,6.0,83.0,3.0,76.0,3.0,5.0,7.0,26.0,8.0,30.0,6.0,65.0,8.0,83.0,10.0,44.0,2.0,16.0,8.0,258.2940066
2.0,22.0,6.0,90.0,4.0,33.0,4.0,91.0,7.0,36.0,6.0,23.0,10.0,78.0,1.0,89.0,3.0,3.0,2.0,25.0,4.0,52.0,5.0,262.25688279999997
2.0,40.0,10.0,35.0,5.0,66.0,7.0,35.0,6.0,90.0,2.0,80.0,10.0,56.0,7.0,9.0,1.0,27.0,6.0,16.0,4.0,21.0,7.0,229.0898414
1.0,29.0,6.0,27.0,10.0,37.0,4.0,17.0,8.0,13.0,2.0,92.0,8.0,63.0,1.0,86.0,4.0,29.0,5.0,51.0,4.0,68.0,2.0,269.38333789999996
2.0,10.0,8.0,1.0,2.0,81.0,7.0,50.0,3.0,72.0,6.0,18.0,3.0,83.0,1.0,100.0,3.0,91.0,1.0,29.0,4.0,65.0,3.0,221.0939326
2.0,43.0,8.0,74.0,7.0,7.0,2.0,84.0,8.0,45.0,4.0,50.0,3.0,42.0,6.0,7.0,7.0,48.0,8.0,82.0,9.0,12.0,2.0,252.63222749999994
1.0,96.0,3.0,96.0,1.0,76.0,1.0,96.0,6.0,91.0,9.0,20.0,3.0,33.0,1.0,64.0,8.0,37.0,2.0,31.0,9.0,61.0,7.0,284.6665383
1.0,29.0,8.0,43.0,8.0,37.0,7.0,81.0,6.0,76.0,3.0,78.0,5.0,6.0,9.0,61.0,9.0,67.0,4.0,4.0,7.0,57.0,5.0,239.766953
2.0,74.0,2.0,86.0,8.0,73.0,4.0,22.0,4.0,73.0,4.0,87.0,8.0,43.0,8.0,38.0,5.0,7.0,8.0,4.0,3.0,99.0,4.0,233.9583245
2.0,90.0,10.0,68.0,3.0,58.0,5.0,45.0,9.0,91.0,2.0,13.0,6.0,37.0,10.0,48.0,10.0,60.0,9.0,75.0,3.0,92.0,6.0,302.8029146
1.0,25.0,10.0,33.0,8.0,32.0,1.0,93.0,8.0,92.0,4.0,86.0,8.0,42.0,8.0,93.0,4.0,26.0,6.0,18.0,3.0,56.0,4.0,272.0777496
1.0,58.0,4.0,94.0,8.0,5.0,8.0,90.0,5.0,8.0,10.0,51.0,4.0,97.0,5.0,42.0,4.0,19.0,3.0,88.0,4.0,35.0,6.0,253.5371795
2.0,37.0,1.0,53.0,7.0,58.0,6.0,89.0,4.0,44.0,9.0,59.0,7.0,70.0,1.0,78.0,4.0,3.0,4.0,15.0,1.0,40.0,1.0,262.56030359999994
1.0,98.0,5.0,14.0,9.0,65.0,7.0,16.0,1.0,98.0,9.0,62.0,2.0,98.0,3.0,45.0,8.0,37.0,2.0,96.0,1.0,36.0,5.0,260.88551720000004
2.0,22.0,5.0,7.0,6.0,88.0,1.0,19.0,5.0,92.0,2.0,70.0,5.0,54.0,2.0,53.0,9.0,49.0,4.0,53.0,7.0,72.0,9.0,259.61132039999995
2.0,65.0,3.0,33.0,5.0,96.0,8.0,66.0,9.0,6.0,4.0,75.0,2.0,22.0,1.0,18.0,6.0,28.0,8.0,34.0,1.0,95.0,10.0,243.04575649999998
1.0,74.0,7.0,24.0,7.0,91.0,1.0,9.0,6.0,9.0,10.0,81.0,10.0,96.0,1.0,27.0,8.0,45.0,4.0,47.0,7.0,61.0,4.0,244.44466500000001
1.0,57.0,4.0,47.0,1.0,80.0,4.0,24.0,9.0,45.0,5.0,31.0,4.0,75.0,9.0,53.0,3.0,16.0,5.0,54.0,2.0,64.0,2.0,260.8091116
1.0,8.0,1.0,74.0,9.0,7.0,5.0,15.0,8.0,22.0,7.0,8.0,10.0,55.0,4.0,12.0,5.0,3.0,10.0,11.0,8.0,83.0,6.0,190.9034642
1.0,90.0,7.0,63.0,1.0,56.0,1.0,41.0,5.0,47.0,10.0,75.0,9.0,48.0,9.0,13.0,3.0,2.0,5.0,10.0,9.0,85.0,8.0,230.4157866
2.0,63.0,5.0,87.0,5.0,76.0,10.0,48.0,7.0,15.0,5.0,18.0,3.0,9.0,9.0,99.0,3.0,41.0,2.0,10.0,5.0,84.0,1.0,261.2177094
2.0,86.0,7.0,84.0,10.0,93.0,8.0,6.0,8.0,40.0,1.0,26.0,10.0,26.0,6.0,19.0,9.0,92.0,5.0,88.0,10.0,39.0,4.0,270.6374362
2.0,6.0,1.0,7.0,8.0,10.0,4.0,79.0,3.0,15.0,6.0,29.0,4.0,21.0,1.0,54.0,5.0,92.0,6.0,43.0,8.0,11.0,9.0,210.83317580000002
2.0,33.0,5.0,81.0,9.0,86.0,5.0,24.0,8.0,72.0,7.0,30.0,3.0,83.0,10.0,7.0,9.0,68.0,7.0,67.0,6.0,14.0,1.0,261.4662509
1.0,50.0,2.0,19.0,1.0,21.0,10.0,14.0,2.0,89.0,2.0,62.0,9.0,23.0,10.0,90.0,1.0,91.0,1.0,95.0,2.0,62.0,2.0,228.9457102
2.0,14.0,6.0,10.0,5.0,46.0,8.0,87.0,9.0,61.0,5.0,83.0,5.0,2.0,10.0,58.0,7.0,21.0,2.0,93.0,8.0,20.0,4.0,227.3526636
2.0,70.0,7.0,17.0,8.0,43.0,5.0,27.0,2.0,8.0,2.0,32.0,8.0,100.0,8.0,28.0,9.0,57.0,6.0,33.0,2.0,30.0,7.0,260.22168009999996
1.0,87.0,7.0,42.0,10.0,7.0,8.0,31.0,4.0,54.0,5.0,35.0,2.0,32.0,6.0,91.0,6.0,12.0,4.0,60.0,3.0,84.0,8.0,278.47109689999996
2.0,100.0,9.0,1.0,2.0,60.0,10.0,44.0,10.0,53.0,3.0,4.0,6.0,71.0,1.0,97.0,2.0,30.0,10.0,21.0,4.0,55.0,1.0,266.1499656
2.0,49.0,1.0,37.0,7.0,47.0,8.0,84.0,10.0,12.0,3.0,3.0,9.0,94.0,4.0,18.0,2.0,66.0,2.0,90.0,10.0,47.0,8.0,236.96655269999997
2.0,51.0,5.0,90.0,5.0,97.0,5.0,100.0,3.0,79.0,8.0,93.0,8.0,92.0,4.0,71.0,7.0,60.0,5.0,27.0,3.0,56.0,6.0,317.03716059999994
1.0,67.0,8.0,34.0,2.0,4.0,5.0,38.0,5.0,33.0,7.0,45.0,7.0,40.0,4.0,57.0,2.0,33.0,7.0,61.0,1.0,80.0,6.0,243.13121329999998
2.0,97.0,1.0,10.0,3.0,12.0,3.0,41.0,8.0,97.0,6.0,94.0,10.0,26.0,10.0,32.0,10.0,74.0,1.0,41.0,7.0,50.0,6.0,235.7810903
1.0,43.0,2.0,29.0,9.0,70.0,10.0,32.0,5.0,89.0,3.0,10.0,2.0,68.0,1.0,58.0,4.0,83.0,9.0,7.0,3.0,10.0,2.0,256.5340039
1.0,73.0,7.0,54.0,5.0,88.0,4.0,18.0,8.0,5.0,9.0,83.0,2.0,79.0,9.0,39.0,4.0,64.0,1.0,6.0,3.0,60.0,9.0,246.4431796
1.0,50.0,3.0,87.0,5.0,92.0,7.0,14.0,1.0,79.0,4.0,27.0,8.0,6.0,7.0,100.0,2.0,61.0,4.0,60.0,2.0,45.0,6.0,236.77273309999998
1.0,70.0,5.0,78.0,5.0,76.0,4.0,95.0,8.0,63.0,3.0,70.0,3.0,14.0,2.0,22.0,3.0,37.0,3.0,52.0,2.0,17.0,9.0,225.06246769999996
2.0,25.0,9.0,23.0,2.0,89.0,10.0,73.0,8.0,31.0,4.0,59.0,2.0,64.0,7.0,53.0,2.0,94.0,10.0,69.0,9.0,35.0,1.0,307.44010539999994
2.0,86.0,4.0,77.0,2.0,96.0,7.0,57.0,7.0,50.0,9.0,13.0,5.0,6.0,6.0,26.0,6.0,2.0,7.0,31.0,9.0,1.0,6.0,207.2740163
2.0,49.0,2.0,55.0,7.0,60.0,1.0,75.0,8.0,8.0,4.0,94.0,1.0,40.0,3.0,44.0,1.0,40.0,3.0,51.0,4.0,76.0,3.0,237.05478359999998
2.0,71.0,10.0,12.0,4.0,54.0,1.0,18.0,9.0,62.0,2.0,94.0,7.0,93.0,4.0,3.0,2.0,64.0,4.0,45.0,1.0,9.0,3.0,238.429979
1.0,88.0,3.0,77.0,9.0,71.0,4.0,61.0,7.0,78.0,5.0,93.0,1.0,34.0,9.0,84.0,5.0,90.0,1.0,34.0,4.0,68.0,9.0,285.8339034
1.0,23.0,9.0,100.0,1.0,49.0,4.0,40.0,3.0,9.0,9.0,5.0,5.0,50.0,10.0,37.0,10.0,43.0,9.0,12.0,6.0,81.0,9.0,262.2166377
2.0,75.0,10.0,63.0,2.0,33.0,9.0,4.0,6.0,50.0,3.0,62.0,3.0,83.0,10.0,96.0,10.0,15.0,6.0,36.0,6.0,73.0,1.0,307.50722749999994
1.0,51.0,4.0,91.0,3.0,25.0,6.0,46.0,9.0,5.0,10.0,27.0,8.0,23.0,6.0,2.0,2.0,30.0,7.0,63.0,9.0,49.0,4.0,243.9409643
1.0,42.0,10.0,24.0,5.0,75.0,10.0,27.0,8.0,38.0,3.0,72.0,4.0,64.0,5.0,15.0,9.0,61.0,4.0,70.0,9.0,11.0,10.0,226.4998708
2.0,92.0,5.0,51.0,7.0,36.0,4.0,4.0,10.0,71.0,5.0,14.0,5.0,90.0,1.0,68.0,10.0,47.0,9.0,3.0,2.0,74.0,10.0,290.4833718
1.0,43.0,10.0,43.0,2.0,55.0,10.0,82.0,4.0,29.0,4.0,14.0,1.0,99.0,5.0,68.0,3.0,20.0,8.0,49.0,9.0,11.0,1.0,262.18362149999996
2.0,4.0,7.0,61.0,2.0,74.0,4.0,79.0,7.0,30.0,2.0,46.0,3.0,68.0,1.0,60.0,5.0,83.0,1.0,25.0,3.0,84.0,10.0,210.0650697
1.0,1.0,1.0,10.0,7.0,25.0,3.0,58.0,10.0,22.0,7.0,92.0,4.0,29.0,7.0,69.0,6.0,91.0,6.0,29.0,7.0,90.0,8.0,200.09832950000003
2.0,57.0,10.0,93.0,2.0,3.0,4.0,95.0,2.0,9.0,3.0,21.0,2.0,63.0,5.0,55.0,3.0,54.0,8.0,78.0,7.0,26.0,5.0,278.23934030000004
1.0,4.0,1.0,35.0,9.0,4.0,9.0,54.0,4.0,49.0,8.0,62.0,1.0,35.0,7.0,23.0,9.0,90.0,1.0,66.0,5.0,49.0,6.0,168.3409882
2.0,52.0,8.0,88.0,10.0,86.0,5.0,70.0,9.0,71.0,1.0,51.0,6.0,10.0,4.0,53.0,5.0,49.0,3.0,74.0,6.0,53.0,10.0,268.6789368
2.0,21.0,3.0,77.0,5.0,25.0,2.0,10.0,5.0,7.0,8.0,82.0,9.0,18.0,9.0,8.0,1.0,61.0,3.0,78.0,3.0,24.0,9.0,220.71420999999998
2.0,77.0,7.0,20.0,2.0,18.0,1.0,56.0,3.0,51.0,5.0,56.0,10.0,92.0,10.0,96.0,4.0,37.0,8.0,62.0,8.0,56.0,8.0,295.5510422
1.0,17.0,6.0,81.0,2.0,85.0,9.0,91.0,2.0,23.0,5.0,60.0,3.0,55.0,4.0,23.0,5.0,28.0,3.0,46.0,8.0,46.0,4.0,235.40709149999995
1.0,92.0,1.0,96.0,2.0,3.0,9.0,89.0,3.0,11.0,8.0,29.0,5.0,5.0,6.0,3.0,10.0,85.0,4.0,44.0,1.0,52.0,1.0,207.9623794
1.0,25.0,1.0,7.0,6.0,60.0,8.0,86.0,6.0,46.0,9.0,5.0,3.0,66.0,5.0,5.0,8.0,53.0,6.0,88.0,10.0,73.0,4.0,219.60765059999997
1.0,41.0,5.0,31.0,4.0,87.0,10.0,66.0,10.0,5.0,6.0,83.0,8.0,17.0,8.0,77.0,1.0,50.0,3.0,1.0,9.0,100.0,10.0,222.7862401
2.0,65.0,7.0,32.0,6.0,30.0,9.0,84.0,7.0,58.0,6.0,32.0,3.0,7.0,5.0,79.0,3.0,9.0,4.0,70.0,9.0,71.0,4.0,248.86417390000003
2.0,95.0,4.0,53.0,1.0,46.0,10.0,20.0,3.0,96.0,7.0,89.0,9.0,82.0,3.0,30.0,7.0,92.0,3.0,95.0,8.0,73.0,7.0,266.1540331
1.0,37.0,4.0,11.0,4.0,62.0,10.0,19.0,3.0,14.0,3.0,54.0,2.0,100.0,3.0,5.0,9.0,2.0,5.0,21.0,9.0,60.0,5.0,224.4330957
1.0,30.0,3.0,57.0,1.0,59.0,3.0,64.0,2.0,67.0,10.0,11.0,9.0,11.0,3.0,8.0,5.0,28.0,10.0,86.0,10.0,76.0,1.0,219.9310477
1.0,78.0,10.0,4.0,7.0,45.0,5.0,26.0,5.0,15.0,9.0,44.0,8.0,69.0,2.0,60.0,5.0,26.0,4.0,43.0,7.0,94.0,6.0,243.88937170000003
