context,computer(downsampling rate),computer(frame rate),computer_2(downsampling rate),computer_2(frame rate),cups(downsampling rate),cups(frame rate),desk(downsampling rate),desk(frame rate),chair(downsampling rate),chair(frame rate),papers(downsampling rate),papers(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),score
2.0,98.0,8.0,38.0,3.0,49.0,6.0,85.0,2.0,19.0,3.0,41.0,5.0,87.0,6.0,34.0,4.0,254.8980872
1.0,55.0,7.0,54.0,3.0,15.0,9.0,1.0,5.0,40.0,10.0,37.0,4.0,34.0,5.0,6.0,1.0,228.4451506
1.0,17.0,7.0,62.0,10.0,88.0,4.0,55.0,8.0,77.0,4.0,62.0,4.0,44.0,6.0,19.0,2.0,279.60343
1.0,16.0,7.0,66.0,5.0,59.0,8.0,14.0,2.0,26.0,5.0,57.0,9.0,67.0,7.0,36.0,5.0,292.2717238
2.0,4.0,3.0,18.0,2.0,42.0,8.0,63.0,2.0,16.0,9.0,98.0,8.0,82.0,9.0,46.0,3.0,219.1201499
2.0,75.0,9.0,51.0,5.0,60.0,4.0,30.0,6.0,65.0,7.0,20.0,9.0,91.0,1.0,67.0,5.0,227.69252790000002
2.0,72.0,9.0,12.0,5.0,70.0,2.0,97.0,1.0,28.0,8.0,20.0,6.0,68.0,3.0,83.0,10.0,274.4251047
1.0,52.0,7.0,29.0,1.0,53.0,4.0,85.0,6.0,11.0,9.0,95.0,4.0,71.0,1.0,72.0,2.0,267.2249888
2.0,54.0,6.0,79.0,8.0,100.0,8.0,72.0,5.0,6.0,8.0,70.0,5.0,72.0,6.0,96.0,10.0,268.73272419999995
2.0,90.0,10.0,24.0,7.0,7.0,7.0,100.0,2.0,3.0,4.0,17.0,3.0,21.0,9.0,87.0,3.0,153.79349839999998
2.0,66.0,2.0,35.0,10.0,8.0,6.0,30.0,2.0,97.0,5.0,6.0,10.0,52.0,1.0,11.0,5.0,193.11819940000004
1.0,96.0,9.0,61.0,4.0,30.0,1.0,47.0,10.0,56.0,2.0,57.0,8.0,58.0,8.0,54.0,9.0,298.9167768
2.0,83.0,8.0,19.0,6.0,53.0,10.0,33.0,7.0,84.0,2.0,76.0,4.0,36.0,9.0,94.0,3.0,206.37186359999998
1.0,44.0,8.0,94.0,8.0,66.0,9.0,14.0,9.0,28.0,3.0,70.0,8.0,7.0,2.0,33.0,4.0,253.76050130000004
2.0,57.0,5.0,81.0,5.0,94.0,5.0,50.0,3.0,67.0,7.0,72.0,5.0,97.0,4.0,48.0,5.0,264.05583620000004
1.0,58.0,7.0,14.0,1.0,28.0,9.0,23.0,8.0,8.0,3.0,72.0,5.0,48.0,3.0,75.0,10.0,254.56933790000002
2.0,93.0,10.0,50.0,1.0,14.0,5.0,89.0,4.0,27.0,6.0,58.0,7.0,13.0,3.0,5.0,2.0,174.38492209999998
1.0,58.0,3.0,38.0,2.0,52.0,9.0,75.0,9.0,32.0,1.0,73.0,3.0,73.0,3.0,82.0,7.0,305.6769643
2.0,77.0,9.0,2.0,7.0,10.0,6.0,89.0,9.0,87.0,1.0,63.0,1.0,23.0,8.0,54.0,1.0,155.7833392
1.0,14.0,10.0,36.0,8.0,100.0,8.0,65.0,3.0,30.0,2.0,79.0,4.0,7.0,8.0,75.0,4.0,256.47277699999995
2.0,59.0,10.0,42.0,9.0,4.0,5.0,45.0,6.0,51.0,3.0,10.0,1.0,66.0,4.0,84.0,5.0,235.85162690000004
1.0,70.0,9.0,89.0,3.0,40.0,5.0,60.0,10.0,61.0,1.0,68.0,5.0,1.0,4.0,18.0,9.0,296.35804620000005
1.0,83.0,5.0,63.0,4.0,30.0,6.0,98.0,6.0,46.0,2.0,40.0,8.0,12.0,9.0,3.0,7.0,257.17688319999996
1.0,1.0,1.0,12.0,9.0,44.0,1.0,24.0,8.0,33.0,3.0,39.0,6.0,83.0,8.0,72.0,5.0,251.4159958
2.0,76.0,7.0,18.0,8.0,27.0,10.0,87.0,5.0,14.0,2.0,99.0,5.0,55.0,2.0,87.0,1.0,195.51622400000002
1.0,97.0,4.0,9.0,2.0,24.0,4.0,76.0,7.0,92.0,6.0,55.0,6.0,34.0,10.0,10.0,1.0,264.27171530000004
1.0,23.0,8.0,40.0,7.0,31.0,5.0,27.0,6.0,58.0,1.0,48.0,1.0,74.0,9.0,2.0,3.0,301.5020349
1.0,70.0,4.0,14.0,8.0,44.0,1.0,65.0,8.0,18.0,4.0,100.0,5.0,4.0,6.0,74.0,2.0,261.6597699
2.0,10.0,2.0,18.0,7.0,1.0,2.0,15.0,1.0,24.0,7.0,56.0,8.0,93.0,1.0,11.0,1.0,167.3620856
2.0,12.0,3.0,74.0,5.0,51.0,7.0,77.0,4.0,38.0,9.0,66.0,10.0,33.0,9.0,6.0,5.0,202.4594076
1.0,3.0,5.0,70.0,2.0,74.0,8.0,97.0,4.0,69.0,1.0,94.0,1.0,1.0,8.0,9.0,8.0,245.2690109
1.0,12.0,5.0,39.0,9.0,48.0,6.0,73.0,7.0,14.0,4.0,2.0,6.0,13.0,1.0,84.0,3.0,225.69111309999997
2.0,40.0,1.0,54.0,5.0,6.0,7.0,59.0,4.0,42.0,1.0,47.0,2.0,16.0,4.0,45.0,10.0,219.83724399999994
1.0,97.0,10.0,97.0,9.0,96.0,7.0,38.0,7.0,75.0,2.0,37.0,10.0,88.0,1.0,14.0,8.0,283.8820634
2.0,45.0,3.0,47.0,3.0,35.0,7.0,83.0,5.0,78.0,9.0,47.0,10.0,55.0,1.0,13.0,7.0,215.6695849
1.0,83.0,9.0,38.0,9.0,45.0,8.0,20.0,2.0,36.0,7.0,25.0,2.0,22.0,3.0,81.0,2.0,249.34483669999997
2.0,1.0,4.0,35.0,3.0,1.0,5.0,71.0,6.0,85.0,9.0,61.0,9.0,46.0,6.0,81.0,5.0,189.16020410000002
2.0,94.0,1.0,18.0,2.0,37.0,1.0,13.0,6.0,51.0,7.0,80.0,3.0,8.0,2.0,90.0,8.0,196.55684499999998
1.0,8.0,4.0,74.0,2.0,98.0,1.0,96.0,10.0,27.0,9.0,97.0,9.0,34.0,2.0,83.0,7.0,262.6860458
2.0,70.0,4.0,77.0,9.0,84.0,6.0,57.0,3.0,69.0,10.0,40.0,8.0,38.0,2.0,15.0,4.0,205.2681194
2.0,38.0,5.0,87.0,2.0,12.0,6.0,88.0,10.0,26.0,1.0,77.0,7.0,32.0,6.0,41.0,5.0,214.4608121
1.0,86.0,2.0,70.0,1.0,31.0,4.0,70.0,1.0,41.0,6.0,39.0,9.0,33.0,7.0,60.0,9.0,274.69996339999994
1.0,78.0,7.0,39.0,3.0,79.0,7.0,89.0,3.0,56.0,1.0,54.0,7.0,41.0,4.0,47.0,7.0,280.6485212
1.0,46.0,1.0,81.0,3.0,70.0,5.0,50.0,9.0,51.0,5.0,8.0,10.0,88.0,4.0,29.0,7.0,303.6080637
1.0,88.0,4.0,4.0,8.0,77.0,6.0,24.0,1.0,94.0,8.0,9.0,7.0,35.0,10.0,42.0,9.0,226.64465699999997
2.0,14.0,6.0,70.0,5.0,28.0,7.0,3.0,3.0,32.0,2.0,82.0,7.0,31.0,3.0,81.0,5.0,177.5067565
1.0,77.0,3.0,92.0,4.0,9.0,7.0,75.0,3.0,95.0,3.0,77.0,8.0,60.0,7.0,54.0,10.0,300.35228900000004
2.0,31.0,2.0,95.0,4.0,38.0,8.0,39.0,3.0,99.0,10.0,13.0,3.0,53.0,3.0,73.0,3.0,214.17639189999997
2.0,85.0,8.0,60.0,1.0,35.0,1.0,14.0,5.0,15.0,9.0,85.0,1.0,87.0,10.0,51.0,9.0,262.90503939999996
2.0,74.0,2.0,27.0,10.0,18.0,6.0,99.0,2.0,6.0,5.0,45.0,3.0,27.0,1.0,50.0,6.0,174.74412009999998
1.0,31.0,8.0,65.0,10.0,4.0,8.0,100.0,9.0,32.0,8.0,22.0,3.0,93.0,2.0,32.0,4.0,284.13168410000003
2.0,87.0,9.0,82.0,2.0,24.0,8.0,15.0,10.0,58.0,10.0,91.0,6.0,55.0,7.0,18.0,8.0,235.7333413
1.0,1.0,9.0,68.0,3.0,97.0,9.0,41.0,1.0,26.0,4.0,93.0,9.0,82.0,4.0,77.0,7.0,259.4197423
1.0,79.0,9.0,61.0,8.0,49.0,8.0,95.0,6.0,16.0,6.0,46.0,3.0,64.0,3.0,58.0,8.0,297.4794264
1.0,82.0,1.0,41.0,10.0,18.0,3.0,24.0,9.0,11.0,3.0,83.0,5.0,67.0,1.0,30.0,5.0,260.3169985
2.0,98.0,2.0,63.0,1.0,54.0,5.0,38.0,1.0,79.0,6.0,84.0,6.0,74.0,10.0,16.0,3.0,249.7693081
2.0,63.0,2.0,56.0,2.0,12.0,9.0,92.0,10.0,98.0,7.0,67.0,10.0,64.0,9.0,1.0,10.0,232.0119978
2.0,37.0,4.0,64.0,7.0,20.0,8.0,26.0,7.0,94.0,3.0,60.0,9.0,20.0,4.0,59.0,3.0,188.3226154
2.0,31.0,1.0,21.0,7.0,19.0,8.0,38.0,3.0,58.0,5.0,57.0,10.0,67.0,7.0,96.0,4.0,236.78727500000002
2.0,83.0,8.0,49.0,1.0,62.0,4.0,67.0,10.0,83.0,1.0,91.0,6.0,83.0,6.0,7.0,4.0,249.1272322
2.0,5.0,10.0,64.0,1.0,39.0,8.0,46.0,4.0,58.0,7.0,44.0,7.0,5.0,10.0,71.0,2.0,175.62166089999997
2.0,83.0,5.0,43.0,6.0,61.0,10.0,65.0,8.0,20.0,7.0,41.0,8.0,65.0,7.0,22.0,7.0,251.2669611
2.0,81.0,6.0,37.0,1.0,38.0,9.0,68.0,8.0,9.0,6.0,35.0,10.0,65.0,1.0,46.0,9.0,202.802164
2.0,60.0,9.0,40.0,3.0,55.0,5.0,65.0,8.0,91.0,2.0,27.0,1.0,60.0,9.0,8.0,10.0,251.77800069999998
1.0,95.0,7.0,8.0,5.0,35.0,7.0,59.0,1.0,13.0,8.0,98.0,1.0,33.0,8.0,89.0,9.0,258.3349348
1.0,9.0,9.0,1.0,10.0,96.0,4.0,96.0,8.0,55.0,2.0,36.0,6.0,81.0,4.0,18.0,7.0,248.62678580000002
1.0,44.0,10.0,13.0,5.0,53.0,5.0,22.0,3.0,53.0,10.0,24.0,1.0,31.0,7.0,40.0,6.0,255.0810955
1.0,87.0,7.0,93.0,9.0,60.0,5.0,86.0,7.0,48.0,3.0,46.0,7.0,85.0,7.0,22.0,4.0,320.6374341
2.0,32.0,6.0,36.0,4.0,30.0,5.0,8.0,3.0,58.0,2.0,81.0,4.0,9.0,9.0,11.0,7.0,181.1893898
2.0,96.0,10.0,37.0,6.0,16.0,6.0,22.0,4.0,70.0,1.0,70.0,9.0,16.0,9.0,87.0,4.0,188.2463047
1.0,47.0,9.0,45.0,4.0,14.0,3.0,68.0,6.0,16.0,3.0,38.0,1.0,50.0,9.0,58.0,4.0,283.4904538
2.0,57.0,6.0,9.0,3.0,19.0,8.0,41.0,7.0,46.0,9.0,90.0,5.0,87.0,4.0,61.0,6.0,250.38547820000002
1.0,38.0,2.0,61.0,1.0,5.0,2.0,83.0,6.0,87.0,8.0,24.0,3.0,8.0,2.0,59.0,2.0,241.17344110000002
2.0,82.0,4.0,34.0,2.0,94.0,5.0,80.0,10.0,38.0,7.0,17.0,9.0,7.0,3.0,26.0,1.0,181.4052428
2.0,16.0,3.0,15.0,5.0,26.0,1.0,11.0,8.0,100.0,1.0,99.0,6.0,45.0,5.0,24.0,5.0,208.28860550000002
2.0,12.0,4.0,67.0,10.0,54.0,3.0,34.0,3.0,2.0,7.0,6.0,4.0,2.0,4.0,81.0,4.0,185.70441670000002
2.0,10.0,3.0,39.0,1.0,99.0,1.0,60.0,10.0,98.0,6.0,33.0,7.0,35.0,4.0,19.0,10.0,241.107565
1.0,50.0,6.0,73.0,8.0,2.0,8.0,45.0,7.0,47.0,3.0,26.0,6.0,97.0,1.0,49.0,6.0,266.3539929
2.0,28.0,2.0,58.0,10.0,62.0,9.0,85.0,9.0,30.0,5.0,67.0,9.0,26.0,10.0,26.0,4.0,205.37727420000002
2.0,54.0,9.0,60.0,1.0,77.0,4.0,28.0,5.0,22.0,7.0,67.0,4.0,81.0,7.0,47.0,10.0,292.8129973
2.0,28.0,3.0,26.0,4.0,22.0,9.0,76.0,4.0,25.0,3.0,58.0,1.0,86.0,7.0,81.0,1.0,235.95065929999998
1.0,82.0,3.0,42.0,7.0,18.0,7.0,72.0,9.0,9.0,10.0,92.0,7.0,6.0,8.0,71.0,4.0,242.2573676
2.0,55.0,7.0,61.0,1.0,84.0,9.0,70.0,7.0,52.0,2.0,16.0,1.0,60.0,2.0,51.0,4.0,220.9823626
1.0,25.0,2.0,26.0,9.0,71.0,2.0,50.0,7.0,42.0,2.0,37.0,2.0,36.0,6.0,34.0,7.0,270.0628489
2.0,69.0,2.0,85.0,2.0,96.0,10.0,96.0,2.0,21.0,8.0,75.0,7.0,51.0,1.0,29.0,4.0,207.5441199
1.0,52.0,6.0,82.0,3.0,35.0,3.0,13.0,1.0,32.0,10.0,86.0,10.0,27.0,5.0,42.0,4.0,256.3845795
2.0,33.0,7.0,92.0,8.0,65.0,8.0,8.0,5.0,40.0,4.0,8.0,10.0,53.0,9.0,3.0,1.0,188.0616469
1.0,75.0,6.0,62.0,5.0,26.0,10.0,66.0,2.0,10.0,9.0,65.0,6.0,71.0,7.0,10.0,7.0,296.8155183
2.0,48.0,1.0,81.0,3.0,85.0,2.0,15.0,1.0,64.0,1.0,50.0,4.0,1.0,5.0,5.0,7.0,218.6939277
2.0,50.0,8.0,66.0,7.0,31.0,7.0,95.0,2.0,18.0,3.0,27.0,2.0,38.0,3.0,44.0,5.0,218.39431660000002
2.0,43.0,3.0,47.0,5.0,61.0,5.0,46.0,9.0,10.0,4.0,61.0,7.0,35.0,2.0,2.0,7.0,177.326412
2.0,14.0,2.0,71.0,10.0,57.0,10.0,69.0,9.0,61.0,9.0,21.0,7.0,95.0,4.0,58.0,2.0,242.1792305
1.0,59.0,8.0,16.0,9.0,98.0,7.0,3.0,7.0,29.0,2.0,56.0,7.0,94.0,4.0,73.0,6.0,270.7777539
2.0,67.0,3.0,63.0,9.0,59.0,4.0,73.0,9.0,66.0,4.0,25.0,5.0,99.0,9.0,91.0,9.0,271.19377199999997
2.0,29.0,9.0,32.0,10.0,11.0,10.0,11.0,5.0,39.0,9.0,79.0,5.0,19.0,8.0,93.0,8.0,193.5099991
2.0,36.0,9.0,66.0,8.0,68.0,8.0,64.0,9.0,65.0,4.0,2.0,7.0,48.0,1.0,54.0,2.0,195.4816523
1.0,60.0,6.0,7.0,1.0,59.0,2.0,13.0,1.0,25.0,1.0,19.0,3.0,74.0,10.0,84.0,4.0,286.9470639
1.0,83.0,8.0,19.0,8.0,19.0,6.0,72.0,5.0,40.0,5.0,33.0,6.0,7.0,4.0,78.0,6.0,253.47163929999996
1.0,72.0,10.0,17.0,6.0,93.0,4.0,59.0,4.0,95.0,4.0,87.0,6.0,84.0,3.0,11.0,3.0,301.26441929999993
1.0,79.0,1.0,12.0,6.0,48.0,9.0,74.0,2.0,68.0,1.0,88.0,4.0,36.0,4.0,53.0,2.0,266.5658345
1.0,61.0,6.0,52.0,4.0,84.0,5.0,2.0,8.0,99.0,1.0,34.0,6.0,92.0,8.0,93.0,2.0,281.0175539
1.0,33.0,4.0,93.0,7.0,27.0,4.0,7.0,1.0,1.0,8.0,95.0,2.0,34.0,4.0,37.0,7.0,221.9281957
1.0,81.0,8.0,24.0,8.0,10.0,9.0,31.0,1.0,4.0,9.0,93.0,10.0,60.0,10.0,4.0,5.0,259.1816456
1.0,66.0,2.0,47.0,8.0,69.0,8.0,88.0,9.0,49.0,6.0,19.0,1.0,93.0,10.0,92.0,10.0,329.8410019
1.0,51.0,10.0,45.0,10.0,55.0,2.0,50.0,3.0,83.0,10.0,20.0,7.0,40.0,8.0,2.0,7.0,272.13562179999997
2.0,46.0,2.0,38.0,10.0,40.0,9.0,90.0,3.0,90.0,2.0,100.0,3.0,96.0,2.0,82.0,1.0,221.7707663
1.0,62.0,1.0,6.0,8.0,69.0,7.0,1.0,10.0,17.0,7.0,50.0,8.0,54.0,7.0,88.0,10.0,232.56021900000002
1.0,93.0,1.0,65.0,8.0,16.0,1.0,30.0,3.0,12.0,10.0,26.0,9.0,24.0,10.0,97.0,1.0,246.51829959999998
2.0,70.0,10.0,47.0,4.0,93.0,8.0,61.0,8.0,10.0,3.0,52.0,1.0,94.0,2.0,73.0,4.0,220.01525949999998
1.0,66.0,6.0,79.0,5.0,97.0,9.0,95.0,1.0,55.0,9.0,16.0,3.0,77.0,8.0,61.0,1.0,309.4921116
1.0,29.0,5.0,90.0,5.0,16.0,2.0,43.0,7.0,54.0,10.0,65.0,10.0,69.0,5.0,92.0,9.0,302.40525499999995
1.0,1.0,6.0,52.0,4.0,97.0,4.0,34.0,8.0,13.0,6.0,36.0,4.0,3.0,1.0,68.0,3.0,209.552459
2.0,68.0,8.0,6.0,3.0,28.0,9.0,9.0,8.0,30.0,10.0,63.0,6.0,34.0,6.0,60.0,1.0,165.70574929999998
2.0,80.0,2.0,26.0,10.0,23.0,8.0,88.0,10.0,1.0,8.0,91.0,1.0,17.0,4.0,28.0,1.0,151.3681361
2.0,30.0,7.0,88.0,4.0,58.0,7.0,88.0,8.0,68.0,4.0,12.0,5.0,96.0,2.0,96.0,8.0,250.45940519999996
2.0,46.0,8.0,81.0,8.0,15.0,7.0,45.0,2.0,77.0,1.0,97.0,10.0,30.0,4.0,43.0,6.0,208.85222800000003
2.0,15.0,8.0,25.0,9.0,13.0,3.0,93.0,8.0,12.0,4.0,90.0,5.0,99.0,1.0,69.0,7.0,215.71524930000004
1.0,30.0,10.0,53.0,4.0,56.0,3.0,2.0,5.0,55.0,5.0,4.0,6.0,99.0,5.0,41.0,4.0,268.5957869
2.0,50.0,4.0,80.0,2.0,79.0,5.0,7.0,4.0,62.0,6.0,23.0,9.0,17.0,2.0,26.0,5.0,179.64582879999998
1.0,99.0,6.0,57.0,9.0,46.0,8.0,34.0,4.0,19.0,9.0,36.0,8.0,18.0,1.0,96.0,4.0,251.55658540000002
2.0,20.0,9.0,68.0,1.0,84.0,7.0,99.0,9.0,16.0,8.0,31.0,3.0,41.0,8.0,80.0,2.0,210.0471648
1.0,68.0,10.0,1.0,3.0,97.0,10.0,28.0,10.0,46.0,2.0,11.0,7.0,54.0,5.0,49.0,10.0,227.6829075
1.0,64.0,9.0,78.0,5.0,69.0,9.0,67.0,5.0,48.0,9.0,79.0,3.0,32.0,4.0,77.0,9.0,275.5756473
1.0,18.0,10.0,6.0,2.0,95.0,9.0,40.0,3.0,47.0,9.0,52.0,3.0,6.0,1.0,95.0,4.0,229.41571670000002
2.0,14.0,2.0,13.0,7.0,77.0,4.0,50.0,9.0,22.0,9.0,14.0,9.0,95.0,3.0,46.0,2.0,229.15512690000003
1.0,42.0,4.0,67.0,1.0,84.0,10.0,85.0,8.0,38.0,2.0,24.0,4.0,31.0,2.0,6.0,10.0,260.1334389
1.0,96.0,6.0,69.0,3.0,50.0,10.0,57.0,1.0,97.0,9.0,3.0,4.0,16.0,10.0,78.0,5.0,240.80590479999998
1.0,10.0,6.0,29.0,5.0,11.0,5.0,75.0,2.0,75.0,6.0,47.0,4.0,61.0,8.0,69.0,10.0,295.3649095
1.0,38.0,4.0,86.0,4.0,43.0,6.0,86.0,5.0,96.0,5.0,18.0,7.0,13.0,4.0,97.0,2.0,251.0227701
1.0,19.0,5.0,98.0,5.0,63.0,1.0,10.0,1.0,100.0,6.0,6.0,2.0,23.0,1.0,25.0,7.0,231.32239629999998
2.0,58.0,3.0,49.0,3.0,65.0,8.0,71.0,5.0,4.0,10.0,3.0,2.0,81.0,6.0,73.0,1.0,207.57326300000003
1.0,27.0,3.0,22.0,5.0,58.0,5.0,88.0,1.0,22.0,5.0,21.0,5.0,43.0,3.0,63.0,10.0,270.595503
2.0,37.0,4.0,21.0,7.0,7.0,3.0,99.0,8.0,12.0,2.0,77.0,6.0,20.0,5.0,1.0,9.0,168.2351128
1.0,70.0,6.0,100.0,8.0,89.0,7.0,60.0,8.0,86.0,2.0,11.0,1.0,35.0,6.0,86.0,1.0,269.5475682
2.0,6.0,10.0,97.0,9.0,61.0,9.0,49.0,3.0,84.0,4.0,70.0,10.0,32.0,2.0,71.0,10.0,232.40823789999996
1.0,25.0,6.0,66.0,3.0,80.0,5.0,97.0,6.0,31.0,8.0,55.0,7.0,97.0,10.0,79.0,10.0,334.9237382
1.0,100.0,9.0,55.0,4.0,19.0,10.0,22.0,2.0,25.0,5.0,31.0,8.0,55.0,8.0,73.0,2.0,289.404207
1.0,28.0,1.0,34.0,10.0,67.0,2.0,64.0,4.0,100.0,10.0,34.0,3.0,2.0,9.0,10.0,6.0,278.6515022
2.0,14.0,7.0,85.0,2.0,39.0,8.0,67.0,5.0,8.0,10.0,49.0,6.0,1.0,6.0,36.0,8.0,217.78927019999998
1.0,43.0,3.0,7.0,9.0,68.0,3.0,77.0,8.0,29.0,9.0,78.0,4.0,9.0,6.0,19.0,9.0,244.38819220000002
1.0,57.0,8.0,10.0,8.0,94.0,1.0,91.0,10.0,20.0,5.0,15.0,3.0,6.0,1.0,24.0,5.0,239.2717267
2.0,4.0,4.0,93.0,5.0,36.0,5.0,14.0,2.0,27.0,5.0,38.0,7.0,34.0,3.0,76.0,5.0,186.10673050000003
2.0,77.0,9.0,67.0,10.0,28.0,9.0,18.0,9.0,65.0,10.0,37.0,6.0,4.0,8.0,88.0,8.0,213.3314435
2.0,17.0,10.0,97.0,2.0,41.0,10.0,72.0,2.0,9.0,8.0,34.0,2.0,78.0,3.0,79.0,5.0,233.4266708
2.0,97.0,2.0,23.0,4.0,33.0,5.0,98.0,6.0,44.0,7.0,99.0,1.0,82.0,3.0,27.0,3.0,236.6269031
2.0,43.0,6.0,15.0,6.0,60.0,3.0,64.0,3.0,76.0,8.0,54.0,4.0,60.0,1.0,47.0,7.0,218.1241038
1.0,78.0,10.0,43.0,7.0,46.0,1.0,36.0,7.0,50.0,5.0,28.0,6.0,84.0,3.0,69.0,9.0,302.3235359
1.0,46.0,6.0,73.0,4.0,37.0,1.0,10.0,4.0,79.0,3.0,67.0,9.0,36.0,1.0,68.0,6.0,248.4413666
2.0,25.0,4.0,23.0,10.0,9.0,9.0,77.0,2.0,36.0,1.0,30.0,1.0,2.0,10.0,65.0,10.0,249.1291299
2.0,92.0,6.0,51.0,8.0,46.0,2.0,91.0,3.0,88.0,4.0,89.0,10.0,14.0,3.0,81.0,7.0,210.50151340000002
1.0,96.0,8.0,52.0,10.0,33.0,3.0,24.0,6.0,59.0,5.0,37.0,3.0,77.0,10.0,94.0,1.0,313.69101489999997
1.0,87.0,3.0,64.0,9.0,35.0,4.0,3.0,3.0,45.0,5.0,6.0,3.0,71.0,3.0,42.0,3.0,251.798484
2.0,50.0,9.0,62.0,2.0,87.0,2.0,89.0,2.0,70.0,7.0,77.0,4.0,82.0,4.0,86.0,7.0,262.182922
2.0,82.0,10.0,75.0,9.0,5.0,1.0,55.0,4.0,68.0,9.0,38.0,4.0,9.0,8.0,85.0,8.0,196.7699457
2.0,43.0,7.0,99.0,6.0,51.0,3.0,13.0,5.0,96.0,7.0,13.0,1.0,97.0,10.0,98.0,8.0,269.862239
1.0,62.0,3.0,50.0,5.0,79.0,6.0,85.0,8.0,100.0,10.0,51.0,4.0,60.0,8.0,35.0,8.0,300.77613649999995
2.0,72.0,2.0,100.0,2.0,44.0,5.0,71.0,8.0,85.0,3.0,79.0,1.0,55.0,3.0,46.0,5.0,239.12226450000003
2.0,85.0,1.0,42.0,8.0,34.0,1.0,90.0,7.0,93.0,7.0,94.0,9.0,36.0,5.0,80.0,3.0,207.8771261
