context,drawer(downsampling rate),drawer(frame rate),cpu(downsampling rate),cpu(frame rate),chair(downsampling rate),chair(frame rate),computer(downsampling rate),computer(frame rate),keyboard(downsampling rate),keyboard(frame rate),mouse(downsampling rate),mouse(frame rate),computer_2(downsampling rate),computer_2(frame rate),bag(downsampling rate),bag(frame rate),clothes(downsampling rate),clothes(frame rate),food(downsampling rate),food(frame rate),canister(downsampling rate),canister(frame rate),papers(downsampling rate),papers(frame rate),desk(downsampling rate),desk(frame rate),person_1(downsampling rate),person_1(frame rate),person_2(downsampling rate),person_2(frame rate),score
1.0,28.0,4.0,32.0,2.0,18.0,9.0,98.0,6.0,13.0,3.0,89.0,1.0,78.0,7.0,72.0,4.0,43.0,9.0,45.0,8.0,22.0,5.0,69.0,5.0,75.0,10.0,5.0,8.0,56.0,9.0,354.4118813
1.0,80.0,5.0,24.0,1.0,83.0,5.0,61.0,2.0,40.0,8.0,13.0,6.0,15.0,8.0,27.0,8.0,21.0,10.0,36.0,9.0,88.0,10.0,24.0,5.0,33.0,7.0,76.0,10.0,72.0,8.0,393.5368134
1.0,30.0,1.0,91.0,1.0,62.0,2.0,69.0,1.0,41.0,9.0,97.0,10.0,33.0,7.0,22.0,3.0,71.0,4.0,99.0,10.0,19.0,9.0,58.0,1.0,75.0,8.0,73.0,10.0,87.0,2.0,414.56899899999996
1.0,34.0,10.0,89.0,6.0,78.0,4.0,11.0,8.0,90.0,9.0,51.0,5.0,43.0,5.0,41.0,1.0,44.0,2.0,87.0,10.0,40.0,3.0,84.0,10.0,52.0,1.0,100.0,2.0,70.0,4.0,362.57479689999997
1.0,26.0,9.0,33.0,7.0,65.0,7.0,34.0,2.0,27.0,8.0,70.0,9.0,99.0,6.0,3.0,9.0,53.0,3.0,63.0,3.0,23.0,1.0,67.0,3.0,90.0,8.0,24.0,2.0,43.0,6.0,367.74143230000004
1.0,84.0,7.0,42.0,1.0,58.0,3.0,21.0,7.0,94.0,4.0,66.0,1.0,10.0,3.0,65.0,2.0,81.0,4.0,33.0,10.0,52.0,6.0,47.0,3.0,6.0,3.0,21.0,4.0,56.0,6.0,336.547838
1.0,4.0,10.0,47.0,3.0,96.0,10.0,4.0,7.0,60.0,10.0,8.0,4.0,90.0,2.0,28.0,10.0,61.0,8.0,91.0,9.0,37.0,5.0,66.0,1.0,81.0,9.0,24.0,8.0,97.0,3.0,359.8308358
2.0,62.0,6.0,61.0,4.0,73.0,3.0,72.0,1.0,96.0,1.0,44.0,6.0,55.0,5.0,97.0,1.0,89.0,8.0,14.0,2.0,18.0,6.0,55.0,4.0,12.0,6.0,36.0,10.0,23.0,10.0,337.10653270000006
2.0,59.0,3.0,73.0,9.0,79.0,3.0,12.0,9.0,95.0,3.0,31.0,7.0,84.0,2.0,72.0,2.0,6.0,10.0,34.0,6.0,58.0,8.0,22.0,5.0,14.0,2.0,98.0,9.0,72.0,9.0,332.5306324
2.0,44.0,1.0,27.0,2.0,58.0,6.0,97.0,4.0,20.0,1.0,91.0,2.0,59.0,2.0,97.0,10.0,26.0,2.0,77.0,10.0,93.0,4.0,84.0,8.0,22.0,4.0,65.0,8.0,72.0,2.0,349.31961920000003
2.0,79.0,7.0,91.0,8.0,96.0,8.0,16.0,9.0,53.0,8.0,99.0,5.0,36.0,2.0,23.0,2.0,30.0,2.0,70.0,10.0,43.0,8.0,45.0,3.0,87.0,7.0,66.0,6.0,27.0,3.0,344.05849250000006
1.0,22.0,1.0,70.0,8.0,19.0,2.0,76.0,3.0,59.0,7.0,72.0,6.0,35.0,8.0,77.0,1.0,99.0,2.0,12.0,10.0,50.0,6.0,48.0,10.0,60.0,4.0,92.0,7.0,64.0,2.0,405.1030349
2.0,6.0,1.0,93.0,10.0,83.0,6.0,21.0,10.0,58.0,8.0,23.0,4.0,31.0,6.0,93.0,4.0,28.0,4.0,56.0,5.0,38.0,5.0,78.0,6.0,48.0,6.0,58.0,9.0,64.0,7.0,339.2327678000001
2.0,72.0,4.0,100.0,1.0,20.0,6.0,76.0,7.0,57.0,4.0,81.0,9.0,97.0,9.0,60.0,8.0,50.0,4.0,51.0,8.0,15.0,7.0,92.0,10.0,37.0,4.0,78.0,1.0,65.0,1.0,306.61460480000005
1.0,15.0,1.0,58.0,10.0,74.0,7.0,21.0,7.0,9.0,6.0,24.0,10.0,36.0,8.0,56.0,7.0,55.0,2.0,72.0,3.0,29.0,3.0,90.0,5.0,59.0,8.0,4.0,10.0,36.0,4.0,338.04410720000004
1.0,27.0,4.0,43.0,9.0,12.0,6.0,59.0,4.0,42.0,7.0,96.0,10.0,25.0,9.0,27.0,10.0,66.0,4.0,28.0,5.0,81.0,6.0,79.0,2.0,70.0,9.0,59.0,7.0,16.0,4.0,398.6551079000001
1.0,42.0,10.0,26.0,9.0,54.0,7.0,36.0,7.0,81.0,7.0,40.0,6.0,62.0,6.0,65.0,7.0,30.0,10.0,22.0,10.0,97.0,3.0,79.0,1.0,68.0,6.0,45.0,7.0,63.0,10.0,411.3539141000001
1.0,6.0,2.0,78.0,4.0,9.0,5.0,87.0,7.0,85.0,10.0,67.0,9.0,89.0,8.0,30.0,3.0,13.0,5.0,93.0,8.0,58.0,9.0,71.0,8.0,18.0,2.0,91.0,7.0,59.0,5.0,395.0663399
2.0,58.0,6.0,29.0,4.0,13.0,1.0,6.0,4.0,52.0,4.0,17.0,6.0,57.0,2.0,92.0,6.0,87.0,4.0,34.0,7.0,80.0,6.0,72.0,8.0,42.0,6.0,30.0,2.0,80.0,1.0,300.56753760000004
1.0,14.0,1.0,75.0,2.0,39.0,1.0,20.0,10.0,53.0,3.0,71.0,5.0,55.0,2.0,44.0,7.0,72.0,3.0,31.0,2.0,6.0,9.0,72.0,7.0,57.0,7.0,93.0,6.0,58.0,9.0,394.8897301
2.0,84.0,5.0,6.0,10.0,5.0,9.0,9.0,7.0,86.0,7.0,13.0,10.0,73.0,1.0,27.0,3.0,69.0,8.0,87.0,10.0,59.0,6.0,55.0,9.0,58.0,5.0,44.0,7.0,11.0,1.0,319.8463408
1.0,39.0,2.0,67.0,2.0,26.0,7.0,43.0,1.0,54.0,10.0,96.0,2.0,90.0,10.0,44.0,6.0,52.0,6.0,73.0,4.0,91.0,10.0,21.0,2.0,98.0,4.0,12.0,10.0,86.0,1.0,378.5698756
1.0,75.0,3.0,59.0,7.0,14.0,1.0,20.0,7.0,85.0,3.0,83.0,6.0,70.0,4.0,6.0,5.0,89.0,8.0,92.0,1.0,27.0,6.0,15.0,3.0,39.0,10.0,69.0,4.0,32.0,6.0,375.85186699999997
2.0,92.0,4.0,86.0,1.0,20.0,5.0,46.0,6.0,21.0,2.0,15.0,4.0,30.0,7.0,32.0,7.0,44.0,8.0,1.0,10.0,66.0,10.0,91.0,9.0,29.0,2.0,41.0,8.0,55.0,6.0,320.0709795
1.0,35.0,1.0,91.0,6.0,73.0,8.0,38.0,3.0,85.0,1.0,52.0,7.0,30.0,10.0,96.0,9.0,72.0,6.0,80.0,3.0,46.0,1.0,65.0,6.0,32.0,7.0,33.0,4.0,33.0,3.0,386.2321293
1.0,13.0,10.0,31.0,10.0,93.0,5.0,5.0,3.0,24.0,6.0,98.0,9.0,55.0,5.0,4.0,2.0,100.0,1.0,75.0,6.0,42.0,7.0,89.0,8.0,58.0,1.0,53.0,10.0,96.0,4.0,371.11781770000005
1.0,51.0,10.0,96.0,8.0,10.0,8.0,16.0,6.0,51.0,8.0,18.0,8.0,63.0,9.0,82.0,10.0,78.0,2.0,39.0,7.0,92.0,2.0,99.0,7.0,46.0,5.0,84.0,4.0,15.0,6.0,382.1845183
1.0,83.0,2.0,94.0,6.0,10.0,1.0,6.0,5.0,74.0,4.0,70.0,7.0,3.0,4.0,18.0,7.0,13.0,10.0,20.0,1.0,98.0,10.0,21.0,7.0,82.0,4.0,35.0,3.0,59.0,1.0,296.8401903
2.0,27.0,3.0,47.0,7.0,77.0,3.0,87.0,2.0,25.0,1.0,5.0,1.0,23.0,4.0,41.0,8.0,91.0,10.0,49.0,1.0,44.0,2.0,21.0,1.0,53.0,5.0,4.0,6.0,89.0,2.0,284.7611996999999
2.0,57.0,9.0,65.0,6.0,48.0,1.0,25.0,2.0,80.0,7.0,6.0,5.0,53.0,5.0,55.0,4.0,11.0,9.0,74.0,7.0,76.0,9.0,31.0,5.0,23.0,2.0,92.0,10.0,35.0,4.0,344.7855987
1.0,97.0,6.0,35.0,2.0,30.0,4.0,97.0,1.0,42.0,3.0,15.0,8.0,56.0,3.0,49.0,3.0,87.0,8.0,92.0,3.0,97.0,7.0,84.0,1.0,96.0,4.0,100.0,2.0,60.0,5.0,386.81883600000003
1.0,29.0,9.0,10.0,1.0,25.0,8.0,64.0,4.0,70.0,3.0,85.0,4.0,87.0,4.0,80.0,7.0,55.0,5.0,45.0,7.0,22.0,3.0,56.0,5.0,90.0,2.0,92.0,3.0,1.0,9.0,390.03812289999996
2.0,78.0,9.0,97.0,4.0,95.0,8.0,90.0,10.0,5.0,6.0,32.0,9.0,43.0,1.0,56.0,10.0,30.0,9.0,37.0,2.0,11.0,8.0,100.0,4.0,46.0,5.0,5.0,2.0,88.0,7.0,272.10317580000003
2.0,1.0,9.0,9.0,9.0,57.0,4.0,38.0,9.0,44.0,5.0,79.0,7.0,15.0,6.0,10.0,6.0,82.0,9.0,57.0,4.0,53.0,2.0,26.0,8.0,98.0,3.0,98.0,8.0,1.0,8.0,333.38212369999997
2.0,95.0,10.0,100.0,9.0,14.0,4.0,86.0,5.0,62.0,8.0,38.0,1.0,54.0,8.0,44.0,10.0,83.0,8.0,68.0,9.0,7.0,1.0,37.0,2.0,82.0,7.0,52.0,1.0,49.0,10.0,310.03707869999994
1.0,4.0,8.0,65.0,9.0,42.0,3.0,23.0,7.0,81.0,3.0,32.0,7.0,28.0,5.0,65.0,8.0,44.0,6.0,39.0,10.0,91.0,2.0,75.0,3.0,56.0,4.0,96.0,6.0,76.0,7.0,390.03751850000003
2.0,32.0,5.0,72.0,1.0,21.0,9.0,57.0,3.0,6.0,5.0,78.0,1.0,67.0,6.0,73.0,3.0,29.0,8.0,74.0,4.0,58.0,7.0,64.0,6.0,53.0,5.0,51.0,4.0,28.0,1.0,330.1942263
1.0,69.0,8.0,37.0,5.0,30.0,4.0,2.0,6.0,82.0,7.0,83.0,3.0,84.0,7.0,20.0,10.0,100.0,10.0,4.0,4.0,74.0,2.0,3.0,1.0,60.0,5.0,12.0,6.0,22.0,10.0,297.2350317000001
1.0,93.0,7.0,16.0,10.0,2.0,6.0,69.0,2.0,75.0,6.0,57.0,3.0,94.0,1.0,38.0,5.0,1.0,2.0,47.0,2.0,59.0,2.0,62.0,3.0,68.0,4.0,95.0,4.0,40.0,5.0,368.1564625
2.0,76.0,2.0,31.0,2.0,97.0,10.0,3.0,5.0,36.0,7.0,37.0,4.0,81.0,9.0,30.0,8.0,29.0,10.0,11.0,7.0,68.0,9.0,93.0,3.0,30.0,5.0,90.0,7.0,27.0,2.0,323.734147
1.0,82.0,1.0,5.0,3.0,85.0,3.0,9.0,5.0,57.0,3.0,70.0,4.0,17.0,5.0,99.0,1.0,74.0,8.0,54.0,5.0,69.0,4.0,17.0,5.0,47.0,4.0,19.0,7.0,47.0,9.0,354.5178361999999
2.0,33.0,2.0,46.0,2.0,83.0,6.0,29.0,1.0,16.0,7.0,78.0,5.0,13.0,9.0,34.0,1.0,65.0,10.0,40.0,9.0,55.0,9.0,67.0,5.0,93.0,2.0,19.0,4.0,58.0,1.0,322.75612779999994
2.0,98.0,4.0,61.0,5.0,91.0,10.0,16.0,1.0,95.0,1.0,40.0,3.0,8.0,10.0,75.0,3.0,72.0,2.0,23.0,3.0,92.0,9.0,83.0,6.0,64.0,5.0,39.0,5.0,67.0,1.0,330.4737935
1.0,12.0,10.0,40.0,6.0,58.0,2.0,12.0,2.0,96.0,10.0,54.0,7.0,49.0,4.0,4.0,5.0,57.0,6.0,95.0,2.0,58.0,2.0,91.0,6.0,19.0,5.0,40.0,6.0,53.0,4.0,375.6209133
1.0,72.0,7.0,79.0,4.0,83.0,6.0,43.0,5.0,43.0,9.0,59.0,5.0,23.0,9.0,69.0,6.0,25.0,7.0,12.0,2.0,14.0,4.0,38.0,6.0,35.0,1.0,53.0,10.0,81.0,8.0,397.92924410000006
1.0,1.0,9.0,94.0,6.0,79.0,5.0,46.0,1.0,47.0,7.0,54.0,4.0,79.0,9.0,98.0,6.0,55.0,4.0,22.0,2.0,45.0,1.0,97.0,9.0,60.0,4.0,51.0,7.0,55.0,8.0,399.60060490000006
1.0,28.0,3.0,59.0,2.0,52.0,4.0,79.0,4.0,12.0,2.0,82.0,3.0,42.0,8.0,92.0,7.0,81.0,4.0,99.0,3.0,85.0,5.0,13.0,4.0,11.0,9.0,93.0,10.0,1.0,10.0,390.5016496
2.0,76.0,9.0,55.0,5.0,65.0,8.0,83.0,6.0,99.0,8.0,8.0,10.0,91.0,10.0,41.0,2.0,69.0,9.0,62.0,5.0,56.0,9.0,80.0,10.0,44.0,9.0,60.0,9.0,73.0,7.0,354.1975675
2.0,83.0,6.0,65.0,3.0,6.0,6.0,47.0,4.0,87.0,10.0,53.0,3.0,43.0,5.0,92.0,9.0,54.0,8.0,24.0,4.0,39.0,3.0,51.0,7.0,84.0,9.0,17.0,1.0,7.0,9.0,278.62446459999995
1.0,100.0,9.0,33.0,7.0,93.0,10.0,21.0,4.0,55.0,8.0,65.0,6.0,83.0,7.0,86.0,10.0,90.0,6.0,21.0,6.0,12.0,2.0,46.0,6.0,76.0,2.0,39.0,4.0,32.0,4.0,393.3146013
2.0,15.0,6.0,88.0,8.0,48.0,9.0,77.0,7.0,34.0,1.0,78.0,2.0,30.0,10.0,39.0,5.0,92.0,1.0,40.0,10.0,5.0,9.0,49.0,7.0,15.0,5.0,21.0,8.0,51.0,9.0,320.4337579
1.0,34.0,7.0,64.0,9.0,9.0,2.0,34.0,5.0,52.0,3.0,37.0,2.0,80.0,8.0,63.0,3.0,50.0,10.0,6.0,5.0,11.0,10.0,12.0,2.0,15.0,8.0,21.0,3.0,96.0,2.0,351.75223090000003
2.0,19.0,5.0,40.0,8.0,72.0,1.0,23.0,3.0,72.0,10.0,43.0,1.0,92.0,1.0,97.0,2.0,62.0,10.0,84.0,2.0,85.0,5.0,65.0,7.0,60.0,7.0,25.0,4.0,19.0,6.0,332.13136890000004
2.0,88.0,2.0,58.0,6.0,32.0,4.0,91.0,9.0,70.0,9.0,73.0,5.0,72.0,10.0,82.0,9.0,80.0,4.0,99.0,8.0,43.0,9.0,9.0,6.0,94.0,7.0,21.0,1.0,20.0,9.0,304.41220509999994
1.0,37.0,6.0,31.0,9.0,57.0,4.0,33.0,9.0,95.0,4.0,37.0,8.0,76.0,5.0,85.0,8.0,19.0,4.0,93.0,5.0,21.0,10.0,71.0,8.0,14.0,7.0,88.0,5.0,56.0,8.0,391.45511029999994
1.0,49.0,1.0,36.0,5.0,57.0,5.0,60.0,6.0,78.0,8.0,18.0,6.0,1.0,10.0,37.0,6.0,65.0,5.0,51.0,2.0,77.0,2.0,21.0,3.0,3.0,8.0,31.0,1.0,9.0,6.0,271.25783910000007
2.0,85.0,2.0,32.0,4.0,20.0,6.0,63.0,1.0,30.0,8.0,83.0,9.0,36.0,2.0,23.0,5.0,58.0,9.0,91.0,1.0,81.0,4.0,5.0,4.0,12.0,9.0,43.0,10.0,14.0,5.0,332.82060350000006
2.0,19.0,9.0,60.0,9.0,53.0,4.0,36.0,5.0,16.0,6.0,24.0,4.0,12.0,4.0,80.0,6.0,43.0,10.0,30.0,8.0,37.0,5.0,3.0,9.0,11.0,5.0,12.0,5.0,51.0,4.0,281.632198
1.0,37.0,3.0,50.0,3.0,50.0,8.0,23.0,3.0,31.0,2.0,53.0,9.0,76.0,6.0,98.0,6.0,62.0,4.0,69.0,9.0,41.0,10.0,48.0,2.0,95.0,8.0,83.0,6.0,65.0,9.0,405.90356280000003
1.0,51.0,1.0,74.0,2.0,31.0,4.0,59.0,9.0,47.0,3.0,36.0,8.0,63.0,3.0,15.0,9.0,48.0,3.0,55.0,8.0,57.0,1.0,96.0,1.0,15.0,8.0,67.0,8.0,45.0,4.0,400.74187670000003
1.0,33.0,6.0,65.0,10.0,17.0,9.0,15.0,5.0,93.0,6.0,28.0,9.0,10.0,7.0,99.0,1.0,46.0,8.0,25.0,7.0,95.0,4.0,75.0,7.0,20.0,5.0,76.0,10.0,34.0,4.0,373.9168937
1.0,14.0,10.0,51.0,6.0,18.0,9.0,40.0,1.0,81.0,4.0,78.0,5.0,94.0,6.0,100.0,6.0,13.0,9.0,41.0,2.0,49.0,4.0,73.0,9.0,77.0,3.0,94.0,5.0,28.0,4.0,399.4914644
1.0,36.0,3.0,59.0,7.0,96.0,10.0,51.0,5.0,68.0,1.0,77.0,7.0,29.0,9.0,4.0,6.0,14.0,2.0,36.0,10.0,6.0,3.0,26.0,7.0,36.0,9.0,46.0,9.0,51.0,9.0,387.0154711
2.0,2.0,8.0,82.0,7.0,15.0,5.0,75.0,1.0,12.0,9.0,17.0,6.0,39.0,7.0,47.0,3.0,69.0,5.0,34.0,6.0,68.0,8.0,3.0,5.0,63.0,5.0,76.0,9.0,52.0,3.0,328.4157955
